locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems
1163791,"SOHOMEI, LLC",Truck,4083000,CLAY ST: BATTERY ST to SANSOME ST (400 - 499),432 CLAY ST,206006,206,6,18MFF-0028,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.
1568975,California Kahve,Truck,7922000,LA PLAYA: LINCOLN WAY \ MARTIN LUTHER KING JR DR to IRVING ST (1200 - 1299),1234 GREAT HWY,1701006,1701,6,21MFF-00102,EXPIRED,Drip Coffee: Espresso Drinks: Matcha Green Tea: Black Teas: Herbal Teas: Crossaints: Savory and Sweet Breads
963996,Singh Brothers Ice Cream,Truck,7895000,KIRKWOOD AVE: NEWHALL ST to PHELPS ST (1600 - 1699),1698 KIRKWOOD AVE,5279027,5279,27,17MFF-0182,REQUESTED,Ice Cream: Pre-Packaged Chips: Candies: Bottled Water & Canned SODA
1585473,"San Francisco Street Foods, Inc.",Push Cart,11222000,SACRAMENTO ST: FRONT ST to BATTERY ST (300 - 399),1 THE EMBARCADERO,230028,230,28,21MFF-00144,EXPIRED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
1575182,Park's Catering,Truck,3376000,BURKE AVE: START: 1500-1599 BLOCK to 03RD ST (1500 - 1599),1570 BURKE AVE,5203066,5203,66,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1658389,BH & MT LLC,Truck,1232000,,401 23RD ST,4232010,4232,10,22MFF-00059,EXPIRED,Cold Truck: Breakfast: Sandwiches: Salads: Pre-Packaged Snacks: Beverages
1733612,Buenafe,Truck,9199000,MISSISSIPPI ST: 07TH ST \ 16TH ST to 17TH ST (1 - 99),901 16TH ST,3949001,3949,1,23MFF-00026,APPROVED,Tacos burritos quesadillas tortas pupusas flautas tamales
1732578,Plaza Garibaldy,Truck,9297000,MONTGOMERY ST: POST ST to SUTTER ST (1 - 99),1 MONTGOMERY ST,292002,292,2,23MFF-00017,APPROVED,Tacos: burritos: quesadillas
1575187,Park's Catering,Truck,5337000,EVANS AVE: RANKIN ST to SELBY ST (1800 - 1890),1801 EVANS AVE,5232005,5232,5,21MFF-00115,EXPIRED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins
1657804,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",Push Cart,6109000,GEARY ST: STOCKTON ST to POWELL ST (200 - 299),233 GEARY ST,314001,314,1,22MFF-00040,EXPIRED,Hot dogs: condiments: soft pretzels: soft drinks: coffee: cold beverages: pastries: bakery goods: cookies: ice cream: candy: soups: churros: chestnuts: nuts: fresh fruit: fruit juices: desserts: potato chips and popcorn.
